,class,who,deck,alone,embarked,alive
68,Third,woman,nan,False,S,yes
69,Third,man,nan,False,S,no
70,Second,man,nan,True,S,no
71,Third,woman,nan,False,S,no
72,Second,man,nan,True,S,no
73,Third,man,nan,False,C,no
74,Third,man,nan,True,S,yes
75,Third,man,F,True,S,no
76,Third,man,nan,True,S,no
77,Third,man,nan,True,S,no
78,Second,child,nan,False,S,yes
79,Third,woman,nan,True,S,yes
80,Third,man,nan,True,S,no
81,Third,man,nan,True,S,yes
82,Third,woman,nan,True,Q,yes
83,First,man,nan,True,S,no
84,Second,woman,nan,True,S,yes
85,Third,woman,nan,False,S,yes
86,Third,man,nan,False,S,no
87,Third,man,nan,True,S,no
88,First,woman,C,False,S,yes
89,Third,man,nan,True,S,no
90,Third,man,nan,True,S,no
91,Third,man,nan,True,S,no
92,First,man,E,False,S,no
93,Third,man,nan,False,S,no
94,Third,man,nan,True,S,no
95,Third,man,nan,True,S,no
96,First,man,A,True,C,no
97,First,man,D,False,C,yes
98,Second,woman,nan,False,S,yes
99,Second,man,nan,False,S,no
100,Third,woman,nan,True,S,no
101,Third,man,nan,True,S,no
102,First,man,D,False,S,no
103,Third,man,nan,True,S,no
104,Third,man,nan,False,S,no
105,Third,man,nan,True,S,no
106,Third,woman,nan,True,S,yes
107,Third,man,nan,True,S,yes
108,Third,man,nan,True,S,no
109,Third,woman,nan,False,Q,yes
110,First,man,C,True,S,no
111,Third,child,nan,False,C,no
112,Third,man,nan,True,S,no
113,Third,woman,nan,False,S,no
114,Third,woman,nan,True,C,no
115,Third,man,nan,True,S,no
116,Third,man,nan,True,Q,no
117,Second,man,nan,False,S,no
118,First,man,B,False,C,no
119,Third,child,nan,False,S,no
120,Second,man,nan,False,S,no
121,Third,man,nan,True,S,no
122,Second,man,nan,False,C,no
123,Second,woman,E,True,S,yes
124,First,man,D,False,S,no
125,Third,child,nan,False,C,yes
126,Third,man,nan,True,Q,no
127,Third,man,nan,True,S,yes
128,Third,woman,F,False,C,yes
129,Third,man,nan,True,S,no
130,Third,man,nan,True,C,no
131,Third,man,nan,True,S,no
132,Third,woman,nan,False,S,no
133,Second,woman,nan,False,S,yes
134,Second,man,nan,True,S,no
135,Second,man,nan,True,C,no
136,First,woman,D,False,S,yes
137,First,man,C,False,S,no
138,Third,man,nan,True,S,no
139,First,man,B,True,C,no
140,Third,woman,nan,False,C,no
141,Third,woman,nan,True,S,yes
142,Third,woman,nan,False,S,yes
143,Third,man,nan,True,Q,no
144,Second,man,nan,True,S,no
145,Second,man,nan,False,S,no
146,Third,man,nan,True,S,yes
147,Third,child,nan,False,S,no
148,Second,man,F,False,S,no
149,Second,man,nan,True,S,no
150,Second,man,nan,True,S,no
151,First,woman,C,False,S,yes
152,Third,man,nan,True,S,no
153,Third,man,nan,False,S,no
154,Third,man,nan,True,S,no
155,First,man,nan,False,C,no
156,Third,woman,nan,True,Q,yes
157,Third,man,nan,True,S,no
158,Third,man,nan,True,S,no
159,Third,man,nan,False,S,no
160,Third,man,nan,False,S,no
161,Second,woman,nan,True,S,yes
162,Third,man,nan,True,S,no
163,Third,man,nan,True,S,no
164,Third,child,nan,False,S,no
165,Third,child,nan,False,S,yes
166,First,woman,E,False,S,yes
167,Third,woman,nan,False,S,no
168,First,man,nan,True,S,no
169,Third,man,nan,True,S,no
170,First,man,B,True,S,no
171,Third,child,nan,False,Q,no
172,Third,child,nan,False,S,yes
173,Third,man,nan,True,S,no
174,First,man,A,True,C,no
175,Third,man,nan,False,S,no
176,Third,man,nan,False,S,no
177,First,woman,C,True,C,no
178,Second,man,nan,True,S,no
179,Third,man,nan,True,S,no
180,Third,woman,nan,False,S,no
181,Second,man,nan,True,C,no
182,Third,child,nan,False,S,no
183,Second,child,F,False,S,yes
184,Third,child,nan,False,S,yes
185,First,man,A,True,S,no
186,Third,woman,nan,False,Q,yes
187,First,man,nan,True,S,yes
188,Third,man,nan,False,Q,no
189,Third,man,nan,True,S,no
190,Second,woman,nan,True,S,yes
191,Second,man,nan,True,S,no
192,Third,woman,nan,False,S,yes
193,Second,child,F,False,S,yes
194,First,woman,B,True,C,yes
195,First,woman,B,True,C,yes
196,Third,man,nan,True,Q,no
197,Third,man,nan,False,S,no
198,Third,woman,nan,True,Q,yes
199,Second,woman,nan,True,S,no
200,Third,man,nan,True,S,no
201,Third,man,nan,False,S,no
202,Third,man,nan,True,S,no
203,Third,man,nan,True,C,no
204,Third,man,nan,True,S,yes
205,Third,child,G,False,S,no
206,Third,man,nan,False,S,no
207,Third,man,nan,True,C,yes
208,Third,woman,nan,True,Q,yes
209,First,man,A,True,C,yes
210,Third,man,nan,True,S,no
211,Second,woman,nan,True,S,yes
212,Third,man,nan,True,S,no
213,Second,man,nan,True,S,no
214,Third,man,nan,False,Q,no
215,First,woman,D,False,C,yes
216,Third,woman,nan,True,S,yes
217,Second,man,nan,False,S,no
218,First,woman,D,True,C,yes
219,Second,man,nan,True,S,no
220,Third,man,nan,True,S,yes
221,Second,man,nan,True,S,no
222,Third,man,nan,True,S,no
223,Third,man,nan,True,S,no
224,First,man,C,False,S,yes
225,Third,man,nan,True,S,no
226,Second,man,nan,True,S,yes
227,Third,man,nan,True,S,no
228,Second,man,nan,True,S,no
229,Third,woman,nan,False,S,no
230,First,woman,C,False,S,yes
231,Third,man,nan,True,S,no
232,Second,man,nan,True,S,no
233,Third,child,nan,False,S,yes
234,Second,man,nan,True,S,no
235,Third,woman,nan,True,S,no
236,Second,man,nan,False,S,no
237,Second,child,nan,False,S,yes
238,Second,man,nan,True,S,no
239,Second,man,nan,True,S,no
240,Third,woman,nan,False,C,no
241,Third,woman,nan,False,Q,yes
242,Second,man,nan,True,S,no
243,Third,man,nan,True,S,no
244,Third,man,nan,True,C,no
245,First,man,C,False,Q,no
246,Third,woman,nan,True,S,no
247,Second,woman,nan,False,S,yes
248,First,man,D,False,S,yes
249,Second,man,nan,False,S,no
250,Third,man,nan,True,S,no
251,Third,woman,G,False,S,no
252,First,man,C,True,S,no
253,Third,man,nan,False,S,no
254,Third,woman,nan,False,S,no
255,Third,woman,nan,False,C,yes
256,First,woman,nan,True,C,yes
257,First,woman,B,True,S,yes
258,First,woman,nan,True,C,yes
259,Second,woman,nan,False,S,yes
260,Third,man,nan,True,Q,no
261,Third,child,nan,False,S,yes
262,First,man,E,False,S,no
263,First,man,B,True,S,no
264,Third,woman,nan,True,Q,no
265,Second,man,nan,True,S,no
266,Third,man,nan,False,S,no
267,Third,man,nan,False,S,yes
268,First,woman,C,False,S,yes
269,First,woman,C,True,S,yes
270,First,man,nan,True,S,no
271,Third,man,nan,True,S,yes
272,Second,woman,nan,False,S,yes
273,First,man,C,False,C,no
274,Third,woman,nan,True,Q,yes
275,First,woman,D,False,S,yes
276,Third,woman,nan,True,S,no
277,Second,man,nan,True,S,no
278,Third,child,nan,False,Q,no
279,Third,woman,nan,False,S,yes
280,Third,man,nan,True,Q,no
281,Third,man,nan,True,S,no
282,Third,man,nan,True,S,no
283,Third,man,nan,True,S,yes
284,First,man,A,True,S,no
285,Third,man,nan,True,C,no
286,Third,man,nan,True,S,yes
287,Third,man,nan,True,S,no
288,Second,man,nan,True,S,yes
289,Third,woman,nan,True,Q,yes
290,First,woman,nan,True,S,yes
291,First,woman,B,False,C,yes
292,Second,man,D,True,C,no
293,Third,woman,nan,True,S,no
294,Third,man,nan,True,S,no
295,First,man,nan,True,C,no
296,Third,man,nan,True,C,no
297,First,child,C,False,S,no
298,First,man,C,True,S,yes
299,First,woman,B,False,C,yes
300,Third,woman,nan,True,Q,yes
301,Third,man,nan,False,Q,yes
302,Third,man,nan,True,S,no
303,Second,woman,E,True,Q,yes
304,Third,man,nan,True,S,no
305,First,child,C,False,S,yes
306,First,woman,nan,True,C,yes
307,First,woman,C,False,C,yes
308,Second,man,nan,False,C,no
309,First,woman,E,True,C,yes
310,First,woman,C,True,C,yes
311,First,woman,B,False,C,yes
312,Second,woman,nan,False,S,no
313,Third,man,nan,True,S,no
314,Second,man,nan,False,S,no
315,Third,woman,nan,True,S,yes
316,Second,woman,nan,False,S,yes
317,Second,man,nan,True,S,no
318,First,woman,C,False,S,yes
319,First,woman,E,False,C,yes
320,Third,man,nan,True,S,no
321,Third,man,nan,True,S,no
322,Second,woman,nan,True,Q,yes
323,Second,woman,nan,False,S,yes
324,Third,man,nan,False,S,no
325,First,woman,C,True,C,yes
326,Third,man,nan,True,S,no
327,Second,woman,D,True,S,yes
328,Third,woman,nan,False,S,yes
329,First,woman,B,False,C,yes
330,Third,woman,nan,False,Q,yes
331,First,man,C,True,S,no
332,First,man,C,False,S,no
333,Third,man,nan,False,S,no
334,First,woman,nan,False,S,yes
335,Third,man,nan,True,S,no
336,First,man,C,False,S,no
337,First,woman,E,True,C,yes
338,Third,man,nan,True,S,yes
339,First,man,nan,True,S,no
340,Second,child,F,False,S,yes
341,First,woman,C,False,S,yes
342,Second,man,nan,True,S,no
343,Second,man,nan,True,S,no
344,Second,man,nan,True,S,no
345,Second,woman,F,True,S,yes
346,Second,woman,nan,True,S,yes
347,Third,woman,nan,False,S,yes
348,Third,child,nan,False,S,yes
349,Third,man,nan,True,S,no
350,Third,man,nan,True,S,no
351,First,man,C,True,S,no
352,Third,child,nan,False,C,no
353,Third,man,nan,False,S,no
354,Third,man,nan,True,C,no
355,Third,man,nan,True,S,no
356,First,woman,E,False,S,yes
357,Second,woman,nan,True,S,no
358,Third,woman,nan,True,Q,yes
359,Third,woman,nan,True,Q,yes
360,Third,man,nan,False,S,no
361,Second,man,nan,False,C,no
362,Third,woman,nan,False,C,no
363,Third,man,nan,True,S,no
364,Third,man,nan,False,Q,no
365,Third,man,nan,True,S,no
366,First,woman,D,False,C,yes
367,Third,woman,nan,True,C,yes
368,Third,woman,nan,True,Q,yes
369,First,woman,B,True,C,yes
370,First,man,E,False,C,yes
371,Third,man,nan,False,S,no
372,Third,man,nan,True,S,no
373,First,man,nan,True,C,no
374,Third,child,nan,False,S,no
375,First,woman,nan,False,C,yes
376,Third,woman,nan,True,S,yes
377,First,man,C,False,C,no
378,Third,man,nan,True,C,no
379,Third,man,nan,True,S,no
380,First,woman,nan,True,C,yes
381,Third,child,nan,False,C,yes
382,Third,man,nan,True,S,no
383,First,woman,nan,False,S,yes
384,Third,man,nan,True,S,no
385,Second,man,nan,True,S,no
386,Third,child,nan,False,S,no
387,Second,woman,nan,True,S,yes
388,Third,man,nan,True,Q,no
389,Second,woman,nan,True,C,yes
390,First,man,B,False,S,yes
391,Third,man,nan,True,S,yes
392,Third,man,nan,False,S,no
393,First,woman,D,False,C,yes
394,Third,woman,G,False,S,yes
395,Third,man,nan,True,S,no
396,Third,woman,nan,True,S,no
397,Second,man,nan,True,S,no
398,Second,man,nan,True,S,no
399,Second,woman,nan,True,S,yes
400,Third,man,nan,True,S,yes
401,Third,man,nan,True,S,no
402,Third,woman,nan,False,S,no
403,Third,man,nan,False,S,no
404,Third,woman,nan,True,S,no
405,Second,man,nan,False,S,no
406,Third,man,nan,True,S,no
407,Second,child,nan,False,S,yes
408,Third,man,nan,True,S,no
409,Third,woman,nan,False,S,no
410,Third,man,nan,True,S,no
411,Third,man,nan,True,Q,no
412,First,woman,C,False,Q,yes
413,Second,man,nan,True,S,no
414,Third,man,nan,True,S,yes
415,Third,woman,nan,True,S,no
416,Second,woman,nan,False,S,yes
417,Second,woman,nan,False,S,yes
418,Second,man,nan,True,S,no
419,Third,child,nan,False,S,no
420,Third,man,nan,True,C,no
421,Third,man,nan,True,Q,no
422,Third,man,nan,True,S,no
423,Third,woman,nan,False,S,no
424,Third,man,nan,False,S,no
425,Third,man,nan,True,S,no
426,Second,woman,nan,False,S,yes
427,Second,woman,nan,True,S,yes
428,Third,man,nan,True,Q,no
429,Third,man,E,True,S,yes
430,First,man,C,True,S,yes
431,Third,woman,nan,False,S,yes
432,Second,woman,nan,False,S,yes
433,Third,man,nan,True,S,no
434,First,man,E,False,S,no
435,First,child,B,False,S,yes
436,Third,woman,nan,False,S,no
437,Second,woman,nan,False,S,yes
438,First,man,C,False,S,no
439,Second,man,nan,True,S,no
440,Second,woman,nan,False,S,yes
441,Third,man,nan,True,S,no
442,Third,man,nan,False,S,no
443,Second,woman,nan,True,S,yes
444,Third,man,nan,True,S,yes
445,First,child,A,False,S,yes
446,Second,child,nan,False,S,yes
447,First,man,nan,True,S,yes
448,Third,child,nan,False,C,yes
449,First,man,C,True,S,yes
450,Second,man,nan,False,S,no
451,Third,man,nan,False,S,no
452,First,man,C,True,C,no
453,First,man,C,False,C,yes
454,Third,man,nan,True,S,no
455,Third,man,nan,True,C,yes
456,First,man,E,True,S,no
457,First,woman,D,False,S,yes
458,Second,woman,nan,True,S,yes
459,Third,man,nan,True,Q,no
460,First,man,E,True,S,yes
461,Third,man,nan,True,S,no
462,First,man,E,True,S,no
463,Second,man,nan,True,S,no
464,Third,man,nan,True,S,no
465,Third,man,nan,True,S,no
466,Second,man,nan,True,S,no
467,First,man,nan,True,S,no
468,Third,man,nan,True,Q,no
469,Third,child,nan,False,C,yes
470,Third,man,nan,True,S,no
471,Third,man,nan,True,S,no
472,Second,woman,nan,False,S,yes
473,Second,woman,D,True,C,yes
474,Third,woman,nan,True,S,no
475,First,man,A,True,S,no
476,Second,man,nan,False,S,no
477,Third,man,nan,False,S,no
478,Third,man,nan,True,S,no
479,Third,child,nan,False,S,yes
480,Third,child,nan,False,S,no
481,Second,man,nan,True,S,no
482,Third,man,nan,True,S,no
483,Third,woman,nan,True,S,yes
484,First,man,B,False,C,yes
485,Third,woman,nan,False,S,no
486,First,woman,C,False,S,yes
487,First,man,B,True,C,no
488,Third,man,nan,True,S,no
489,Third,child,nan,False,S,yes
490,Third,man,nan,False,S,no
491,Third,man,nan,True,S,no
492,First,man,C,True,S,no
493,First,man,nan,True,C,no
494,Third,man,nan,True,S,no
495,Third,man,nan,True,C,no
496,First,woman,D,False,C,yes
497,Third,man,nan,True,S,no
498,First,woman,C,False,S,no
499,Third,man,nan,True,S,no
500,Third,man,nan,True,S,no
501,Third,woman,nan,True,Q,no
502,Third,woman,nan,True,Q,no
503,Third,woman,nan,True,S,no
504,First,woman,B,True,S,yes
505,First,man,C,False,C,no
506,Second,woman,nan,False,S,yes
507,First,man,nan,True,S,yes
508,Third,man,nan,True,S,no
509,Third,man,nan,True,S,yes
510,Third,man,nan,True,Q,yes
511,Third,man,nan,True,S,no
512,First,man,E,True,S,yes
513,First,woman,nan,False,C,yes
514,Third,man,nan,True,S,no
515,First,man,D,True,S,no
516,Second,woman,F,True,S,yes
517,Third,man,nan,True,Q,no
518,Second,woman,nan,False,S,yes
519,Third,man,nan,True,S,no
520,First,woman,B,True,S,yes
521,Third,man,nan,True,S,no
522,Third,man,nan,True,C,no
523,First,woman,B,False,C,yes
524,Third,man,nan,True,C,no
525,Third,man,nan,True,Q,no
526,Second,woman,nan,True,S,yes
527,First,man,C,True,S,no
528,Third,man,nan,True,S,no
529,Second,man,nan,False,S,no
530,Second,child,nan,False,S,yes
531,Third,man,nan,True,C,no
532,Third,man,nan,False,C,no
533,Third,woman,nan,False,C,yes
534,Third,woman,nan,True,S,no
535,Second,child,nan,False,S,yes
536,First,man,B,True,S,no
537,First,woman,nan,True,C,yes
538,Third,man,nan,True,S,no
539,First,woman,B,False,C,yes
540,First,woman,B,False,S,yes
541,Third,child,nan,False,S,no
542,Third,child,nan,False,S,no
543,Second,man,nan,False,S,yes
544,First,man,C,False,C,no
545,First,man,nan,True,S,no
546,Second,woman,nan,False,S,yes
547,Second,man,nan,True,C,yes
548,Third,man,nan,False,S,no
549,Second,child,nan,False,S,yes
550,First,man,C,False,C,yes
551,Second,man,nan,True,S,no
552,Third,man,nan,True,Q,no
553,Third,man,nan,True,C,yes
554,Third,woman,nan,True,S,yes
555,First,man,nan,True,S,no
556,First,woman,A,False,C,yes
557,First,man,nan,True,C,no
558,First,woman,E,False,S,yes
559,Third,woman,nan,False,S,yes
560,Third,man,nan,True,Q,no
561,Third,man,nan,True,S,no
562,Second,man,nan,True,S,no
563,Third,man,nan,True,S,no
564,Third,woman,nan,True,S,no
565,Third,man,nan,False,S,no
566,Third,man,nan,True,S,no
567,Third,woman,nan,False,S,no
568,Third,man,nan,True,C,no
569,Third,man,nan,True,S,yes
570,Second,man,nan,True,S,yes
571,First,woman,C,False,S,yes
572,First,man,E,True,S,yes
573,Third,woman,nan,True,Q,yes
574,Third,man,nan,True,S,no
575,Third,man,nan,True,S,no
576,Second,woman,nan,True,S,yes
577,First,woman,E,False,S,yes
578,Third,woman,nan,False,C,no
579,Third,man,nan,True,S,yes
580,Second,woman,nan,False,S,yes
581,First,woman,C,False,C,yes
582,Second,man,nan,True,S,no
583,First,man,A,True,C,no
584,Third,man,nan,True,C,no
585,First,woman,E,False,S,yes
586,Second,man,nan,True,S,no
587,First,man,B,False,C,yes
588,Third,man,nan,True,S,no
589,Third,man,nan,True,S,no
590,Third,man,nan,True,S,no
591,First,woman,D,False,C,yes
592,Third,man,nan,True,S,no
593,Third,woman,nan,False,Q,no
594,Second,man,nan,False,S,no
595,Third,man,nan,False,S,no
596,Second,woman,nan,True,S,yes
597,Third,man,nan,True,S,no
598,Third,man,nan,True,C,no
599,First,man,A,False,C,yes
600,Second,woman,nan,False,S,yes
601,Third,man,nan,True,S,no
602,First,man,nan,True,S,no
603,Third,man,nan,True,S,no
604,First,man,nan,True,C,yes
605,Third,man,nan,False,S,no
606,Third,man,nan,True,S,no
607,First,man,nan,True,S,yes
608,Second,woman,nan,False,C,yes
609,First,woman,C,True,S,yes
610,Third,woman,nan,False,S,no
611,Third,man,nan,True,S,no
612,Third,woman,nan,False,Q,yes
613,Third,man,nan,True,Q,no
614,Third,man,nan,True,S,no
615,Second,woman,nan,False,S,yes
616,Third,man,nan,False,S,no
617,Third,woman,nan,False,S,no
618,Second,child,F,False,S,yes
619,Second,man,nan,True,S,no
620,Third,man,nan,False,C,no
621,First,man,D,False,S,yes
622,Third,man,nan,False,C,yes
623,Third,man,nan,True,S,no
624,Third,man,nan,True,S,no
625,First,man,D,True,S,no
626,Second,man,nan,True,Q,no
627,First,woman,D,True,S,yes
628,Third,man,nan,True,S,no
629,Third,man,nan,True,Q,no
630,First,man,A,True,S,yes
631,Third,man,nan,True,S,no
632,First,man,B,True,C,yes
633,First,man,nan,True,S,no
634,Third,child,nan,False,S,no
635,Second,woman,nan,True,S,yes
636,Third,man,nan,True,S,no
637,Second,man,nan,False,S,no
638,Third,woman,nan,False,S,no
639,Third,man,nan,False,S,no
640,Third,man,nan,True,S,no
641,First,woman,B,True,C,yes
642,Third,child,nan,False,S,no
643,Third,man,nan,True,S,yes
644,Third,child,nan,False,C,yes
645,First,man,D,False,C,yes
646,Third,man,nan,True,S,no
647,First,man,A,True,C,yes
648,Third,man,nan,True,S,no
649,Third,woman,nan,True,S,yes
650,Third,man,nan,True,S,no
651,Second,woman,nan,False,S,yes
652,Third,man,nan,True,S,no
653,Third,woman,nan,True,Q,yes
654,Third,woman,nan,True,Q,no
655,Second,man,nan,False,S,no
656,Third,man,nan,True,S,no
657,Third,woman,nan,False,Q,no
658,Second,man,nan,True,S,no
659,First,man,D,False,C,no
660,First,man,nan,False,S,yes
661,Third,man,nan,True,C,no
662,First,man,E,True,S,no
663,Third,man,nan,True,S,no
664,Third,man,nan,False,S,yes
665,Second,man,nan,False,S,no
666,Second,man,nan,True,S,no
667,Third,man,nan,True,S,no
668,Third,man,nan,True,S,no
669,First,woman,C,False,S,yes
670,Second,woman,nan,False,S,yes
671,First,man,B,False,S,no
672,Second,man,nan,True,S,no
673,Second,man,nan,True,S,yes
674,Second,man,nan,True,S,no
675,Third,man,nan,True,S,no
676,Third,man,nan,True,S,no
677,Third,woman,nan,True,S,yes
678,Third,woman,nan,False,S,no
679,First,man,B,False,C,yes
680,Third,woman,nan,True,Q,no
681,First,man,D,True,C,yes
682,Third,man,nan,True,S,no
683,Third,child,nan,False,S,no
684,Second,man,nan,False,S,no
685,Second,man,nan,False,C,no
686,Third,child,nan,False,S,no
687,Third,man,nan,True,S,no
688,Third,man,nan,True,S,no
689,First,child,B,False,S,yes
690,First,man,B,False,S,yes
691,Third,child,nan,False,C,yes
692,Third,man,nan,True,S,yes
693,Third,man,nan,True,C,no
694,First,man,nan,True,S,no
695,Second,man,nan,True,S,no
696,Third,man,nan,True,S,no
697,Third,woman,nan,True,Q,yes
698,First,man,C,False,C,no
699,Third,man,F,True,S,no
700,First,woman,C,False,C,yes
701,First,man,E,True,S,yes
702,Third,woman,nan,False,C,no
703,Third,man,nan,True,Q,no
704,Third,man,nan,False,S,no
705,Second,man,nan,True,S,no
706,Second,woman,nan,True,S,yes
707,First,man,E,True,S,yes
708,First,woman,nan,True,S,yes
709,Third,man,nan,False,C,yes
710,First,woman,C,True,C,yes
711,First,man,C,True,S,no
712,First,man,C,False,S,yes
713,Third,man,nan,True,S,no
714,Second,man,nan,True,S,no
715,Third,man,F,True,S,no
716,First,woman,C,True,C,yes
717,Second,woman,E,True,S,yes
718,Third,man,nan,True,Q,no
719,Third,man,nan,True,S,no
720,Second,child,nan,False,S,yes
721,Third,man,nan,False,S,no
722,Second,man,nan,True,S,no
723,Second,man,nan,True,S,no
724,First,man,E,False,S,yes
725,Third,man,nan,True,S,no
726,Second,woman,nan,False,S,yes
727,Third,woman,nan,True,Q,yes
728,Second,man,nan,False,S,no
729,Third,woman,nan,False,S,no
730,First,woman,B,True,S,yes
731,Third,child,nan,True,C,no
732,Second,man,nan,True,S,no
733,Second,man,nan,True,S,no
734,Second,man,nan,True,S,no
735,Third,man,nan,True,S,no
736,Third,woman,nan,False,S,no
737,First,man,B,True,C,yes
738,Third,man,nan,True,S,no
739,Third,man,nan,True,S,no
740,First,man,D,True,S,yes
741,First,man,C,False,S,no
742,First,woman,B,False,C,yes
743,Third,man,nan,False,S,no
744,Third,man,nan,True,S,yes
745,First,man,B,False,S,no
746,Third,man,nan,False,S,no
747,Second,woman,nan,True,S,yes
748,First,man,D,False,S,no
749,Third,man,nan,True,Q,no
750,Second,child,nan,False,S,yes
751,Third,child,E,False,S,yes
752,Third,man,nan,True,S,no
753,Third,man,nan,True,S,no
754,Second,woman,nan,False,S,yes
755,Second,child,nan,False,S,yes
756,Third,man,nan,True,S,no
757,Second,man,nan,True,S,no
758,Third,man,nan,True,S,no
759,First,woman,B,True,S,yes
760,Third,man,nan,True,S,no
761,Third,man,nan,True,S,no
762,Third,man,nan,True,C,yes
763,First,woman,B,False,S,yes
764,Third,man,nan,True,S,no
765,First,woman,D,False,S,yes
766,First,man,nan,True,C,no
767,Third,woman,nan,True,Q,no
768,Third,man,nan,False,Q,no
769,Third,man,nan,True,S,no
770,Third,man,nan,True,S,no
771,Third,man,nan,True,S,no
772,Second,woman,E,True,S,no
773,Third,man,nan,True,C,no
774,Second,woman,nan,False,S,yes
775,Third,man,nan,True,S,no
776,Third,man,F,True,Q,no
777,Third,child,nan,True,S,yes
778,Third,man,nan,True,Q,no
779,First,woman,B,False,S,yes
780,Third,child,nan,True,C,yes
781,First,woman,B,False,S,yes
782,First,man,D,True,S,no
783,Third,man,nan,False,S,no
784,Third,man,nan,True,S,no
785,Third,man,nan,True,S,no
786,Third,woman,nan,True,S,yes
787,Third,child,nan,False,Q,no
788,Third,child,nan,False,S,yes
789,First,man,B,True,C,no
790,Third,man,nan,True,Q,no
791,Second,man,nan,True,S,no
792,Third,woman,nan,False,S,no
793,First,man,nan,True,C,no
794,Third,man,nan,True,S,no
795,Second,man,nan,True,S,no
796,First,woman,D,True,S,yes
797,Third,woman,nan,True,S,yes
798,Third,man,nan,True,C,no
799,Third,woman,nan,False,S,no
800,Second,man,nan,True,S,no
801,Second,woman,nan,False,S,yes
802,First,child,B,False,S,yes
803,Third,child,nan,False,C,yes
804,Third,man,nan,True,S,yes
805,Third,man,nan,True,S,no
806,First,man,A,True,S,no
807,Third,woman,nan,True,S,no
808,Second,man,nan,True,S,no
809,First,woman,E,False,S,yes
810,Third,man,nan,True,S,no
811,Third,man,nan,True,S,no
812,Second,man,nan,True,S,no
813,Third,child,nan,False,S,no
814,Third,man,nan,True,S,no
815,First,man,B,True,S,no
816,Third,woman,nan,True,S,no
817,Second,man,nan,False,C,no
818,Third,man,nan,True,S,no
819,Third,child,nan,False,S,no
820,First,woman,B,False,S,yes
821,Third,man,nan,True,S,yes
822,First,man,nan,True,S,no
823,Third,woman,E,False,S,yes
824,Third,child,nan,False,S,no
825,Third,man,nan,True,Q,no
826,Third,man,nan,True,S,no
827,Second,child,nan,False,C,yes
828,Third,man,nan,True,Q,yes
829,First,woman,B,True,nan,yes
830,Third,child,nan,False,C,yes
831,Second,child,nan,False,S,yes
832,Third,man,nan,True,C,no
833,Third,man,nan,True,S,no
834,Third,man,nan,True,S,no
835,First,woman,E,False,C,yes
836,Third,man,nan,True,S,no
837,Third,man,nan,True,S,no
838,Third,man,nan,True,S,yes
839,First,man,C,True,C,yes
840,Third,man,nan,True,S,no
841,Second,man,nan,True,S,no
842,First,woman,nan,True,C,yes
843,Third,man,nan,True,C,no
844,Third,man,nan,True,S,no
845,Third,man,nan,True,S,no
846,Third,man,nan,False,S,no
847,Third,man,nan,True,C,no
848,Second,man,nan,False,S,no
849,First,woman,C,False,C,yes
850,Third,child,nan,False,S,no
851,Third,man,nan,True,S,no
852,Third,child,nan,False,C,no
853,First,woman,D,False,S,yes
854,Second,woman,nan,False,S,no
855,Third,woman,nan,False,S,yes
